prefecture,prefecture_eng,region,num_sake,num_company,abv_avg,abv_count,abv_std,acidity_avg,acidity_count,acidity_std,gravity_avg,gravity_count,gravity_std
愛知県,Aichi,Chūbu,625,36,15.925095057034222,526,1.3872677808227405,1.4787610619469027,226,0.2834552921623924,1.9974025974025975,308,4.00779286577749
新潟県,Niigata,Chūbu,64,5,15.234426229508196,61,1.162021979984549,1.3392857142857142,14,0.19332970187318255,3.46,25,1.767295485574875
東京都,Tōkyō,Kantō,26,1,14.76923076923077,26,1.1421976118935748,1.3719999999999999,25,0.10999999999999997,3.1153846153846154,26,2.1785669248737447
栃木県,Tochigi,Kantō,374,22,15.902334630350195,257,1.4198076993769673,1.4741379310344827,87,0.2257882920942368,2.8403361344537816,119,2.232211008787259
沖縄県,Okinawa,Kyūshū,3,1,15.333333333333334,3,0.28867513459481275,1.4333333333333333,3,0.15275252316519464,3.6999999999999997,3,3.559494346111537
滋賀県,Shiga,Kansai,536,26,16.362385321100916,327,1.4029847012462762,1.6661764705882351,102,0.3600853697393039,2.9532467532467535,154,3.965062599233342
熊本県,Kumamoto,Kyūshū,165,10,15.553793103448276,145,1.6496641362568647,1.4746753246753246,77,0.28592225855247516,2.558139534883721,86,4.449995773065516
福岡県,Fukuoka,Kyūshū,549,41,15.52763157894737,456,1.4025423087036895,1.5131284916201118,179,0.20583685102489993,3.013992537313433,268,3.54076581783138
福島県,Fukushima,Tōhoku,824,45,15.61992818671454,557,1.392666944339227,1.411038961038961,231,0.2554565448398701,1.3940277777777779,360,4.968202417761401
秋田県,Akita,Tōhoku,637,34,15.843653846153847,520,1.1585104861904822,1.5147214854111404,377,0.35218087922458935,1.7595348837209304,430,4.664500639589301
群馬県,Gunma,Kantō,100,12,15.993333333333334,75,1.0847011462041414,1.4519230769230769,52,0.24613911626365434,2.5,53,2.5701691054810443
茨城県,Ibaraki,Kantō,513,30,15.709883720930232,344,1.1324351265683272,1.4152777777777779,180,0.26293876457613075,2.955607476635514,214,2.3994602983038336
長崎県,Nagasaki,Kyūshū,182,17,15.706451612903226,155,1.3861409300061416,1.4202898550724639,69,0.20152339679151518,1.7212871287128713,101,2.7105843146326722
長野県,Nagano,Chūbu,189,12,15.913017751479291,169,1.4266831349462814,1.5335164835164836,91,0.28868042163677443,-0.004464285714285714,112,6.572018056278171
青森県,Aomori,Tōhoku,260,17,15.77196261682243,214,0.9980539178867456,1.4533928571428572,168,0.20361355423849403,1.8068571428571427,175,5.30525209917459
静岡県,Shizuoka,Chūbu,361,17,15.868634686346862,271,1.3576714745174276,1.4731818181818184,110,0.4256499225268608,3.6176870748299317,147,3.8341284784261433
香川県,Kagawa,Shikoku,96,4,15.671875,96,1.7165266720297334,1.4666666666666668,3,0.35118845842842455,1.7,25,3.526683994916471
高知県,Kōchi,Shikoku,278,13,15.79549019607843,255,1.3972939450945874,1.4894117647058822,170,0.2284620716967435,4.604381443298969,194,4.459360984783272
鳥取県,Tottori,Chūgoku,274,15,16.299758454106282,207,1.5909368430141195,1.6379310344827587,58,0.35135206824788856,5.553846153846154,130,4.057534934364675
鹿児島県,Kagoshima,Kyūshū,2,1,15.0,2,0.0,1.7000000000000002,2,0.14142135623730956,0.5,2,0.7071067811865476
